Gene,Ensembl ID,Probe sets,Codewords,Tissues,Cell types
0610005C13Rik,ENSMUSG00000109644,6,1,Kidney,epithelial cell of proximal tubule
1110017D15Rik,ENSMUSG00000028441,7,1,Lung,ciliated columnar cell of tracheobronchial tree
2610528A11Rik,ENSMUSG00000096001,8,1,Large Intestine,enterocyte of epithelium of large intestine
5330417C22Rik,ENSMUSG00000040412,8,1,Pancreas,pancreatic A cell
6330403K07Rik,ENSMUSG00000018451,8,1,Lung,pulmonary interstitial fibroblast
A330076H08Rik,ENSMUSG00000109321,8,1,Pancreas;Brain,pancreatic A cell;GABAergic neuron
Aadat,ENSMUSG00000057228,8,1,Kidney,brush cell
Abca13,ENSMUSG00000004668,8,1,Kidney,kidney collecting duct epithelial cell
Abcb11,ENSMUSG00000027048,8,1,Liver,hepatocyte
Acan,ENSMUSG00000030607,8,1,Trachea,chondrocyte
Ace2,ENSMUSG00000015405,8,1,Pancreas,pancreatic PP cell
Ackr3,ENSMUSG00000044337,8,1,Lymph Node,subcapsular ceiling lymphatic endothelial cell
Actl6b,ENSMUSG00000029712,8,1,Lung;Brain,lung neuroendocrine cell;glutamatergic neuron
Actn3,ENSMUSG00000006457,8,1,Limb Muscle,cell of skeletal muscle
Ager,ENSMUSG00000015452,6,1,Lung,type II pneumocyte
Aif1l,ENSMUSG00000001864,8,1,Kidney,kidney collecting duct principal cell
Aldh1b1,ENSMUSG00000035561,8,1,Large Intestine,intestinal crypt stem cell
Alox5ap,ENSMUSG00000060063,8,1,Lung,classical monocyte
Ambp,ENSMUSG00000028356,8,1,Pancreas,pancreatic ductal cell
Angpt2,ENSMUSG00000031465,8,1,Kidney,podocyte (sensu Diptera)
Anxa2,ENSMUSG00000032231,8,1,Lymph Node;Skin of Body;Skin of Body,valve lymphatic endothelial cell;fibroblast;keratinocyte stem cell
Anxa8,ENSMUSG00000021950,8,1,Skin of Body,stem cell of epidermis
Aplp1,ENSMUSG00000006651,8,1,Pancreas,pancreatic A cell
Apoc2,ENSMUSG00000002992,6,1,Lung,intermediate monocyte
Apoc4,ENSMUSG00000074336,2,1,Liver,hepatocyte
Aqp1,ENSMUSG00000004655,8,1,Kidney,kidney cortex artery cell
Aqp3,ENSMUSG00000028435,8,1,Bladder Lumen;Skin of Body,bladder urothelial cell;stem cell of epidermis
Aqp4,ENSMUSG00000024411,8,1,Kidney,kidney collecting duct principal cell
Aqp5,ENSMUSG00000044217,5,1,Lung,club cell
Aqp7,ENSMUSG00000028427,8,1,Heart,endothelial cell of coronary artery
Areg,ENSMUSG00000029378,8,1,Bladder Lumen;Lung,bladder urothelial cell;lung macrophage
Arpp21,ENSMUSG00000032503,8,1,Thymus;Brain,DN3 thymocyte;glutamatergic neuron
Asb9,ENSMUSG00000031384,8,1,Kidney,kidney loop of Henle thick ascending limb epithelial cell
Ascl1,ENSMUSG00000020052,8,1,Lung;Brain,lung neuroendocrine cell;astrocyte
Aspn,ENSMUSG00000021388,8,1,Lung;Skin of Body,pulmonary interstitial fibroblast;fibroblast
Asprv1,ENSMUSG00000033508,7,1,Heart,mast cell
Asz1,ENSMUSG00000010796,8,1,Bladder Lumen;Lung,bladder cell;adventitial cell
Atp6v0d2,ENSMUSG00000028238,8,1,Lung,alveolar macrophage
Atp6v1b1,ENSMUSG00000006269,8,1,Mammary Gland,luminal epithelial cell of mammary gland
AU021092,ENSMUSG00000051669,8,1,Kidney,fenestrated cell
